Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 61535 - 2016, Uniwersytet Medyczny, Roboty budowlane.," 45.45.30.00-7, 45.45.40.00-4.", Przetarg ograniczony," 3351146,64 PLN.", 3.," 3549195,23"," 3549195,23 "," 6471204,29","ZAB-BUD Andrzej Zaboklicki, Ul. Nowosielecka 14A/3, 00-466 Warszawa, kraj/woj. mazowieckie."
 62751 - 2016, Zamek KrÛlewski na Wawelu - PaÒstwowe Zbiory Sztuki, Roboty budowlane.," 45.20.00.00-9, 45.21.00.00-2, 45.22.30.00-6, 45.26.00.00-7, 45.30.00.00-0, 45.31.00.00-3, 45.32.00.00-6, 45.33.00.00-9, 45.35.00.00-5, 92.52.22.00-6.", Przetarg ograniczony," 1905283,30 PLN.", 3.," 1789481,16"," 1789481,16 "," 2069791,17","Konsorcjum firm: Lider; Jaros≥aw Woüniak Firma Budowlano-Konserwatorska, ul. P≥k. Nullo 7/4, 31-543 KrakÛw, kraj/woj. ma≥opolskie."
 68123 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.21.00.00-2, 45.21.42.10-5.", Przetarg ograniczony," 1902049,01 PLN.", 5.," 1748944,79"," 1748944,79 "," 2191663,67","Us≥ugi Remontowo -Budowlane CIEP£Y DOM Dariusz Poøuczek, KarnkÛw 15A, 57-130 Przeworno, kraj/woj. dolnoúlπskie."
 68651 - 2016, Miejskie Towarzystwo Budownictwa Spo≥ecznego Sp. z o.o., Roboty budowlane.," 45.21.10.00-9, 45.11.10.00-9.", Przetarg ograniczony," 2290462,08 PLN.", 2.," 2084916,29"," 2084916,29 "," 2102805,46","WIXBUD S.A., Miros≥aw 22a, 09-472 S≥upno, kraj/woj. mazowieckie."
 73617 - 2016, Dyrekcja Rozbudowy Miasta GdaÒska dzia≥ajπca w imieniu Gminy Miasta GdaÒska, Roboty budowlane.," 45.00.00.00-6, 45.21.41.00-4, 45.23.31.20-6, 45.30.00.00-0, 45.31.00.00-3, 45.23.24.60-4, 45.11.27.23-9.", Przetarg ograniczony," 7385494,00 PLN.", 3.," 10674789,06"," 10674789,06 "," 11029683,06","EKOINBUD sp. z o.o., Wielkopolska 5A, 80-180 GdaÒsk, kraj/woj. pomorskie."
 74507 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.31.20-6, 45.23.21.30-2, 45.31.61.10-9.", Przetarg ograniczony," 571530,65 PLN.", 5.," 541200,00"," 541200,00 "," 609779,00","Zak≥ad Budownictwa OgÛlnego i Inøynieryjnego Edward Kucu≥yma Sp. z o.o., ul. Wiejska 90, 56-400 Oleúnica, kraj/woj. dolnoúlπskie."
 77255 - 2016, Oúrodek Szkolno-Wychowawczy Nr 2 dla Nies≥yszπcych i S≥abos≥yszπcych im. J.SiestrzyÒskiego w Wejherowie, Roboty budowlane.," 45.21.22.20-8, 45.21.22.25-9, 45.10.00.00-8, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 4335278,93 PLN.", 5.," 4657948,50"," 4657948,50 "," 5624715,67","Hartuna Sp. z o.o., ul. DrogowcÛw 2, 83-250 Skarszewy, kraj/woj. pomorskie."
 78329 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.23.21.30-2, 45.23.24.31-2.", Przetarg ograniczony," 555887,50 PLN.", 2.," 516600,00"," 516600,00 "," 598899,30","Aquabudpol Grzegorz Soko≥owski, Nowa Wieú Z≥otoryjska 35, 59-500 Z≥otoryja, kraj/woj. dolnoúlπskie."
 79003 - 2016, Urzπd Miejski O≥awa, Roboty budowlane.," 45.21.22.00-8, 45.21.21.40-8.", Przetarg ograniczony," 440408,28 PLN.", 2.," 528900,00"," 528900,00 "," 607000,00","BUDMEL Korty, boiska sportowe Tadeusz Molus, ul. M≥ynarska 30, 55-100 Trzebnica, kraj/woj. dolnoúlπskie."
 83177 - 2016, Wyøsza Szko≥a Oficerska Wojsk Lπdowych im. gen. Tadeusza Koúciuszki, Roboty budowlane.," 45.31.10.00-0, 45.31.22.00-9, 45.31.56.00-4, 45.31.20.00-7, 71.30.00.00-1.", Przetarg ograniczony," 161491,06 PLN.", 3.," 127476,57"," 127476,57 "," 237912,75","Lider: PRODUS S.A. , ul. Bystrzycka 69 c, 54-215 Wroc≥aw, kraj/woj. dolnoúlπskie."
 84051 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.21.00.00-2., Przetarg ograniczony," 367754,27 PLN.", 3.," 374086,38"," 345571,70 "," 483783,65","PPHU DOMUS Kazimierz Sewio≥o, ul. Traugutta 17, 49-200 GrodkÛw, kraj/woj. opolskie."
 84321 - 2016, Gmina KleszczÛw, Roboty budowlane.," 45.00.00.00-7, 45.11.13.00-1, 45.21.51.00-8, 45.26.10.00-4, 45.26.23.00-4, 45.30.00.00-0, 45.31.00.00-3, 45.31.10.00-0, 45.33.00.00-9, 45.33.10.00-6, 45.40.00.00-1, 45.42.10.00-4, 45.44.30.00-4, 45.45.00.00-6, 45.45.30.00-7.", Przetarg ograniczony," 11844106,51 PLN.", 3.," 7593388,70"," 7593388,70 "," 8864700,00","Cz.P.B.P. PRZEMYS£”WKA S.A., ul. Pu≥askiego 25, 42-200 CzÍstochowa, kraj/woj. úlπskie."
 85087 - 2016, Gmina Wilkowice, Roboty budowlane.," 45.00.00.00-7, 45.10.00.00-8, 45.11.11.00-9, 45.11.12.20-6, 45.20.00.00-9, 45.40.00.00-1, 45.44.21.00-8, 45.45.00.00-6, 71.00.00.00-8, 71.20.00.00-0, 71.30.00.00-1, 71.50.00.00-3.", Przetarg ograniczony," 360991,49 PLN.", 1.," 489094,00"," 489094,00 "," 489094,00","MALIBORSKI Ciesielstwo- handel Drewnem Henryk Maliborski, ul. Bielska 1b, 43-356 BujakÛw, kraj/woj. úlπskie."
 95907 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 732694,43 PLN.", 2.," 572156,00"," 572156,00 "," 959400,00","Konsorcjum PSV w sk≥ad ktÛrego wchodzπ: Palisada Sp. z o. o. PrzedsiÍbiorstwo RobÛt Budowlanych SZABET £ukasz Szady VIDOM Halina Grπzka, ul. Jana Ostroroga 64/4, 64-100 Leszno, kraj/woj. wielkopolskie."
 96685 - 2016, Instytut Matematyczny Polskiej Akademii Nauk, Roboty budowlane.," 45.33.00.00-9, 45.31.00.00-3, 45.40.00.00-0.", Przetarg ograniczony," 704966,36 PLN.", 1.," 704966,36"," 704966,36 "," 704966,36","SpÛ≥dzielnia Rzemieúlnicza Budowlana, ul. KiliÒskiego 15/17, 26-600 Radom, kraj/woj. mazowieckie."
 97435 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 7537630,00 PLN.", 5.," 6003408,49"," 6003408,49 "," 7356878,69","PT TELEKOM WARMIA Sp. z o.o., ul. Marii Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 101835 - 2016, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane., 45.11.00.00-1., Przetarg ograniczony," 874715,40 PLN.", 5.," 199260,00"," 199260,00 "," 765932,64","Konsorcjum firm: Lider: PGW Polska Grupa Wyburzeniowa Sp. z o.o. Partner: Archiwa Mazowieckie Sp. z o.o., ul. Wolska 84/86, 01-141 Warszawa, kraj/woj. mazowieckie."
 101887 - 2016, Gmina Miejska CiechanÛw reprezentowana przez Prezydenta Miasta CiechanÛw, Roboty budowlane.," 45.11.12.00-0, 45.11.10.00-8, 45.11.27.10-5, 45.23.33.20-8, 45.23.32.20-7, 45.23.31.62-2, 71.32.00.00-7.", Przetarg ograniczony," 652100,79 PLN.", 2.," 486264,51"," 486264,51 "," 613770,00","PrzedsiÍbiorstwo Kamieniarskie WOLSKI Kazimierz Wolski, ul. Przemys≥owa 10, 34-440 Kluszkowce, kraj/woj. ma≥opolskie."
 36461 - 2016, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.00.00.00-7, 45.22.30.00-6, 45.21.00.00-2, 45.30.00.00-0.", Przetarg ograniczony," 1652033,92 PLN.", 5.," 997863,55"," 997863,55 "," 1556216,46","PrzedsiÍbiorstwo Budowlano-Us≥ugowo-Handlowe Agat Sp. z o.o., ul. Domaszowska 106, Kielce, kraj/woj. Polska."
 82096 - 2016, S≥uøba Kontrwywiadu Wojskowego, Roboty budowlane.," 45.00.00.00-7, 40.33.00.00-4, 45.33.10.00-6, 45.23.21.40-5.", Przetarg ograniczony," 575305,22 PLN.", 5.," 504069,66"," 503001,76 "," 704322,77","SGW Budownictwo Waldemar Stelmach SpÛ≥ka Komandytowa, ul. Mokra 2, Radom, kraj/woj. Polska."
 82614 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 14312396,57 PLN.", 4.," 9910031,46"," 9910031,46 "," 11399302,22","SKANSKA S.A., ul. Gen. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 37555 - 2016, Centralne Biuro Antykorupcyjne, Roboty budowlane.," 45.31.20.00-7, 45.31.22.00-9, 45.31.43.00-4, 45.31.12.00-2.", Przetarg ograniczony," 1058569,19 PLN.", 4.," 1509771,04"," 1509771,04 "," 1890746,66","Konsorcjum SpÛ≥ek: KONSALNET Ochrona Sp. z o.o. KONSALNET SECURITY Sp. z o.o., ul. Jana Kazimierza 55, 01-267 Warszawa, kraj/woj. mazowieckie."
 86418 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 12500000,00 PLN.", 9.," 9598362,82"," 9598362,82 "," 15789966,57","SKANSKA S.A, ul. Gen. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 91768 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.20-7, 45.23.31.42-6, 45.23.32.51-3, 14.21.20.00-0.", Przetarg ograniczony," 185569,11 PLN.", 1.," 228250,00"," 228250,00 "," 228250,00","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 95934 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.22.00.00-5, 45.10.00.00-8, 45.23.00.00-8, 45.32.00.00-6, 45.31.20.00-7, 45.31.00.00-3, 45.33.10.00-6, 45.45.30.00-7, 45.11.13.00-1, 45.26.27.00-8.", Przetarg ograniczony," 14483878,82 PLN.", 4.," 14169999,98"," 14169999,98 "," 16495934,96","T4B Sp. z o.o., Al. StanÛw Zjednoczonych 32/U15, 04-036 Warszawa, kraj/woj. mazowieckie."
 97356 - 2016," Zwiπzek Komunalny ""Wodociπg Lisowice""", Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 138580,19 PLN.", 4.," 165943,97"," 165943,97 "," 221154,00","Firma GUTKOWSKI Gutkowski Jan, ul. 17 stycznia 92, 64-100 Leszno, kraj/woj. wielkopolskie."
 46149 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.31.53.00-1, 45.31.11.00-1, 45.21.60.00-4, 45.21.62.00-6, 45.23.24.60-6.", Przetarg ograniczony," 1011538,01 PLN.", 4.," 1047000,00"," 1047000,00 "," 1217922,22","FADBET S. A., ul. 42 Pu≥ku Piechoty 46, 15-181 Bia≥ystok, kraj/woj. podlaskie."
 102088 - 2016, Telewizja Polska S.A., Roboty budowlane., 31.68.25.10-8., Przetarg ograniczony," 825152,78 PLN.", 2.," 833895,98"," 758910,00 "," 833895,98","EST ENERGY Sp. z o.o., ul. Øeromskiego 114, 05-400 Otwock, kraj/woj. mazowieckie."
 109384 - 2016, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 1305870,00 PLN.", 5.," 1589160,00"," 1589160,00 "," 2103315,00","Control Net Sp. z o.o., ul. WilkszyÒska 60, 54-079 Wroc≥aw, kraj/woj. dolnoúlπskie."
 50429 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.22-1, 45.23.32.00-1.", Przetarg ograniczony," 732520,33 PLN.", 5.," 540220,86"," 540220,86 "," 801896,46","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o.o., 56-100 Wo≥Ûw, Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 116496 - 2016, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 2135500,00 PLN.", 1.," 1694850,00"," 1694850,00 "," 1694850,00","Konsorcjum: Lider PRODUS S.A. Partner ECORES Sp. z o.o., ul. Bystrzyckiej 69c, 54-215 Wroc≥aw, kraj/woj. dolnoúlπskie."
 118492 - 2016, Teatr Muzyczny ROMA w Warszawie, Roboty budowlane.," 45.00.00.00-7, 45.10.00.00-8, 45.11.13.00-1, 45.21.23.22-9, 45.22.00.00-5, 45.26.00.00-7, 45.26.19.10-6, 45.20.00.00-9, 45.30.00.00-1, 45.40.00.00-1, 45.21.00.00-2, 45.31.00.00-3, 45.33.00.00-9, 45.43.00.00-0, 45.44.00.00-0, 44.23.00.00-1, 45.32.00.00-6, 45.45.00.00-6, 45.41.00.00-4, 45.45.30.00-7, 45.31.10.00-0.", Przetarg ograniczony," 987118,82 PLN.", 1.," 1152100,00"," 1152100,00 "," 1152100,00","Syntax Sp. z o.o., ul. Jeüdziecka 20, 05-077 Warszawa-Weso≥a, kraj/woj. mazowieckie."
 55781 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.21.00.00-2., Przetarg ograniczony," 547818,86 PLN.", 5.," 368037,99"," 368037,99 "," 546053,03","Firma Budowlana AMD Sp. z o.o., ul. 1 Maja 10a, 56-120 Brzeg Dolny, kraj/woj. dolnoúlπskie."
 55869 - 2016, Gmina Miejska KrakÛw, Roboty budowlane.," 45.00.00.00-7, 48.00.00.00-8, 32.00.00.00-3, 35.00.00.00-4, 34.00.00.00-7, 38.00.00.00-5, 45.31.43.00-4, 45.31.10.00-0, 48.61.00.00-7, 48.62.00.00-0, 48.80.00.00-6, 32.23.40.00-2, 35.12.53.00-2, 34.97.10.00-4, 34.97.00.00-7, 38.62.10.00-4, 32.42.00.00-3, 32.56.20.00-0, 35.11.33.00-2, 35.12.00.00-1.", Przetarg ograniczony," 1143882,56 PLN.", 4.," 865000,00"," 865000,00 "," 1167270,00","Konsorcjum, Lider: Wojciech WielogÛrski SYMETRA, Uczestnik: MWM Sp. z o.o. Sp. k., Uczestnik: Miraccord s.c. Maciej Nowak £ukasz Filek, ul. KiliÒskiego 16, 28-100 Busko ZdrÛj, kraj/woj. úwiÍtokrzyskie."
 126646 - 2016, Teatr im. Juliusza Osterwy w Gorzowie Wlkp., Roboty budowlane.," 71.22.00.00-6, 45.31.00.00-3, 32.34.24.00-6.", Przetarg ograniczony," 601626,02 PLN.", 1.," 752292,60"," 752292,60 "," 752292,60","COLOR s.c., ul. KosynierÛw 6a, 66-008 åwidnica k/ Zielona GÛra, kraj/woj. lubuskie."
 56359 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 7520449,21 PLN.", 3.," 8193612,04"," 8193612,04 "," 9617422,14","SKANSKA S.A., ul. Gen. J. Zajπczka 9, 01-518 Warszawa, kraj/woj. mazowieckie."
 129924 - 2016, Wojskowa Specjalistyczna Przychodnia Lekarska Samodzielny Publiczny Zak≥ad Opieki Zdrowotnej, Roboty budowlane.," 45.00.00.00-7, 45.40.00.00-1, 45.42.11.00-5, 45.31.10.00-0, 45.32.00.00-6, 45.26.00.00-7.", Przetarg ograniczony," 3415000,00 PLN.", 6.," 3077201,36"," 3077201,36 "," 4051363,85","PrzedsiÍbiorstwo Budowlano-Us≥ugowe NOVAPOL Sp. z o.o., ul. M. Sk≥odowskiej-Curie, 87-100 ToruÒ, kraj/woj. kujawsko-pomorskie."
 130700 - 2016, Sto≥eczny Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.11.12.00-0, 45.11.13.00-1, 45.23.32.52-0, 45.26.23.11-4, 45.26.25.00-6, 45.42.11.00-5, 45.44.30.00-4, 45.33.11.00-7, 45.33.12.10-1, 45.33.12.20-4, 45.33.20.00-3, 45.31.12.00-2, 45.31.23.10-3, 45.31.23.11-0, 45.31.43.10-7, 45.31.21.00-8, 45.31.22.00-9, 45.31.43.20-0, 45.31.40.00-1, 45.21.62.00-6.", Przetarg ograniczony," 10568000,00 PLN.", 8.," 10947728,82"," 10947728,82 "," 14956800,00","STEKOP SpÛ≥ka Akcyjna, ul. Mo≥dawska 9, 02-127 WARSZAWA, kraj/woj. mazowieckie."
 12899 - 2016, ZespÛ≥ Ø≥obkÛw m.st. Warszawy, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 1723371,59 PLN.", 1.," 182650,00"," 182650,00 "," 182650,00","Adro SpÛ≥ka cywilna Adam Giernatowski Justyna Giernatowska MAKSYMALNE ZOBOWI•ZANIE ZAMAWIAJ•CEGO WYNIKAJ•CE Z ZAWARTEJ UMOWY 1.000.000,00 z≥, ul. Kwiatowa 69, 05-120 Legionowo, kraj/woj. mazowieckie."
 33964 - 2016, OúwiÍcimskie Towarzystwo Budownictwa Spo≥ecznego Sp. z o.o., Roboty budowlane., 45.21.13.40-4., Przetarg ograniczony," 5201946,55 PLN.", 5.," 3998013,06"," 3998013,06 "," 5496281,80","RMS TRANS Ryszard SkÛrka, ul.Czarna 3, 32-600 Brzezinka, kraj/woj. ma≥opolskie."
 35652 - 2016, Gmina Dobroszyce, Roboty budowlane.," 45.21.22.22-8, 45.11.00.00-1, 45.31.00.00-3, 45.33.00.00-9, 45.23.21.30-2.", Przetarg ograniczony," 3967773,20 PLN.", 8.," 3998000,00"," 3998000,00 "," 5418519,00","AKBiK Sp. z o.o., ul. Wagonowa 6, 53-609 Wroc≥aw, kraj/woj. dolnoúlπskie."
 36518 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.12.00-3.", Przetarg ograniczony," 3287200,00 PLN.", 5.," 2159126,26"," 2159126,26 "," 3917412,65","ELEKTROTIM S.A. , ul. Stargardzka 8, 45-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 36674 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.16.00-1, 32.42.00.00-0, 45.31.00.00-3, 45.31.40.00-1.", Przetarg ograniczony," 3687225,20 PLN.", 5.," 2644309,35"," 2644309,35 "," 3445656,42","ATEM - Polska Sp. z o.o., ul. £uøycka 2, 81-537 Gdynia, kraj/woj. pomorskie."
 38094 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 839300,00 PLN.", 4.," 638807,95"," 638807,95 "," 1025015,90","PrzedsiÍbiorstwo telekomunikacyjne TELEKOM WARMIA Sp. z o.o., ul. Marii Zientary Malewskiej 49, 10-307 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 39166 - 2016, Centralne Biuro Antykorupcyjne, Roboty budowlane.," 45.21.00.00-2, 45.33.00.00-9, 45.31.10.00-0, 45.23.31.40-2.", Przetarg ograniczony," 5984191,11 PLN.", 8.," 6026346,67"," 6026346,67 "," 8372765,03","Konsorcjum: Lider - Energy Investors Group S.A. Partner - Energy Investors Sp. z o.o., Al. Szucha 8/IVp, 00-582 Warszawa, kraj/woj. mazowieckie."
 40600 - 2016, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.31.43.20-0, 45.31.12.00-3.", Przetarg ograniczony," 1315680,00 PLN.", 5.," 859284,68"," 859284,68 "," 1646387,35","SPRINT S.A., JagielloÒczyka 26, 10-062 Olsztyn, kraj/woj. warmiÒsko-mazurskie."
 41742 - 2016, Miejskie PrzedsiÍbiorstwo Oczyszczania Sp. z o.o., Roboty budowlane.," 45.26.28.00-9, 45.31.31.00-5, 45.44.30.00-4, 45.33.10.00-6.", Przetarg ograniczony," 2500000,00 PLN.", 1.," 3316474,56"," 3316474,56 "," 3316474,56","Konsorcjum Firm: Firma Budowlano-Handlowa BODEK Bogus≥aw Pendzej (Lider Konsorcjum) PrzedsiÍbiorstwo Us≥ugowo Budowlane WAKO (partner konsorcjum), ul. Zaleskiego 44/1 (lider konsorcjum), 31-525 KrakÛw, kraj/woj. ma≥opolskie."
 42670 - 2016, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.34.20.00-6, 45.10.00.00-8, 45.31.00.00-3, 45.30.00.00-0, 45.31.40.00-1, 45.11.10.00-8, 77.21.16.00-8, 45.22.30.00-6, 45.32.00.00-6, 45.26.25.00-6, 45.41.00.00-4, 45.44.21.00-8.", Przetarg ograniczony," 12242699,45 PLN.", 4.," 9739675,05"," 9739675,05 "," 12017861,27","ELEKTROTIM S.A. - Lider Konsorcjum, ul. Stargardzka 8, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
 51376 - 2016, Gmina KleszczÛw, Roboty budowlane.," 45.21.00.00-2, 45.10.00.00-8, 45.22.00.00-5, 45.40.00.00-1, 45.31.00.00-3, 45.30.00.00-0.", Przetarg ograniczony," 14045096,88 PLN.", 5.," 14560000,00"," 14560000,00 "," 19543470,00","DORBUD S.A., ul. ZagnaÒska 153, 25-563 Warszawa, kraj/woj. mazowieckie."
 52174 - 2016, Instytut Matematyczny Polskiej Akademii Nauk, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 276901,04 PLN.", 3.," 156966,36"," 156966,36 "," 256036,26","Zak≥ad OgÛlnobudowlany - Stolarstwo Eksport Import Dariusz Nowak, ul. MeløyÒskich 12, 64-100 Leszno, kraj/woj. wielkopolskie."
 25267 - 2016, Urzπd Miejski O≥awa, Roboty budowlane., 45.23.21.30-2., Przetarg ograniczony," 340332,93 PLN.", 5.," 279519,64"," 279519,64 "," 330870,00","PrzedsiÍbiorstwo Wodno-Melioracyjne w Zπbkowicach ålπskich Sp. z o.o., ul. Melioracyjna 3, 57-200 Zπbkowice ålπskie, kraj/woj. dolnoúlπskie."
 26655 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.52-0, 45.23.31.41-9.", Przetarg ograniczony," 304878,05 PLN.", 1.," 250000,00"," 250000,00 "," 250000,00","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp. z o. o., Piotroniowice 54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 26679 - 2016, Urzπd Miejski w Wo≥owie, Roboty budowlane.," 45.23.32.52-0, 45.23.31.41-9.", Przetarg ograniczony," 243902,45 PLN.", 1.," 200000,00"," 200000,00 "," 200000,00","PrzedsiÍbiorstwo Budowy i Utrzymania DrÛg i MostÛw Sp z o. o., Piotroniowice54, 56-100 Wo≥Ûw, kraj/woj. dolnoúlπskie."
 60390 - 2016, PKP Polskie Linie Kolejowe S.A. reprezentowane przez PKP Polskie Linie Kolejowe S.A. Centrum Realizacji Inwestycji Region Centralny, Roboty budowlane.," 45.00.00.00-7, 71.32.20.00-1, 45.20.00.00-9, 45.23.00.00-8, 45.23.40.00-6, 45.23.41.00-7, 45.23.41.16-2, 31.62.10.00-5, 45.23.14.00-9.", Przetarg ograniczony," 18720575,31 PLN.", 4.," 21966570,00"," 18564706,95 "," 24150484,20","Konsorcjum:1)PORR Polska Construction S.A.,ul.Poleczki 35,02-822Warszawa ,2)Porr Bau GmbH,Absberggasse 47,A-1100 WiedeÒ,Republika Austrii,, adres lidera:ul.Poleczki 35, 02-822 Warszawa, kraj/woj. mazowieckie."
 29153 - 2016, WojewÛdzki Fundusz Ochrony årodowiska i Gospodarki Wodnej w Toruniu, Roboty budowlane.," 45.11.27.11-2, 45.21.21.20-3, 29.83.50.00-1, 45.23.31.61-5, 31.52.72.10-1, 45.11.12.91-4.", Przetarg ograniczony," 437141,30 PLN.", 7.," 299000,00"," 299000,00 "," 583960,43","PrzedsiÍbiorstwo Handlowo-Us≥ugowe TRANS GAJ s.c., ul ZagÛrowska 16, 62-500 Konin, kraj/woj. wielkopolskie."
 65496 - 2016, Gmina Giera≥towice, Roboty budowlane.," 45.00.00.00-7, 45.23.21.30-2, 45.23.31.20-6.", Przetarg ograniczony," 846299,34 PLN.", 5.," 302154,33"," 302154,33 "," 449481,38","PrzedsiÍbiorstwo Produkcyjno-Handlowo Us≥ugowe HYDROBUD sp. z o. o, ul. Inwalidzka 18, 41-506 ChorzÛw, kraj/woj. úlπskie."
 70554 - 2016, Rejonowy Zarzπd Infrastruktury Zielona GÛra, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 4284552,84 PLN.", 4.," 3684158,95"," 3684158,95 "," 4858500,00","PrzedsiÍbiorstwo Telekomunikacyjne TELBUD S.A., ul. Krauthofera 23, 60-203 PoznaÒ, kraj/woj. wielkopolskie."
 73724 - 2016, Gmina Giera≥towice, Roboty budowlane., 45.23.31.42-6., Przetarg ograniczony," 96776,90 PLN.", 4.," 63468,00"," 63468,00 "," 82049,24","PrzedsiÍbiorstwo Us≥ugowo Handlowe DOMAX Arkadiusz Mika, ul. GrabiÒska 8, 42-283 BoronÛw, kraj/woj. úlπskie."
 316138 - 2015," Zwiπzek MiÍdzygminny ""Puszcza Zielonka""", Roboty budowlane.," 45.00.00.00-7, 45.23.13.00-8, 45.23.24.23-3.", Przetarg ograniczony," 4750000,00 PLN.", 3.," 5999666,66"," 5999666,66 "," 7067580,00","MOLEWSKI Sp. z .o.o.,, Ul. P≥ocka 164, W≥oc≥awek, kraj/woj. Polska."
 316632 - 2015, Rejonowy Zarzπd Infrastruktury, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 9125121,96 PLN.", 4.," 7597507,73"," 7597507,73 "," 12498563,92","EBUD - Przemys≥Ûwka Sp. z o.o., ul. BiskupiÒska 11, 85-375 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 318038 - 2015, Zak≥ad Gospodarki Mieszkaniowej, Roboty budowlane.," 45.25.25.30-6, 45.45.30.00-7.", Przetarg ograniczony," 25190,91 PLN.", 2.," 26568,00"," 26568,00 "," 26800,00","Zak≥ad ZduÒski JÛzef Kowalski, Fa≥ata 91/3, 87-100 ToruÒ, kraj/woj. kujawsko-pomorskie."
 323060 - 2015, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.30.00.00-0, 45.23.20.00-2, 45.23.23.00-5.", Przetarg ograniczony," 931760,00 PLN.", 5.," 951173,61"," 951173,61 "," 1127497,41","ELEKTROTIM S.A., ul. Stargardzka 8, 54-156 Wroc≥aw, kraj/woj. dolnoúlπskie."
